PARTENZA da MATERA (P.za Della Visitazione ),ORARIO 17:10:00,ARRIVO a BARI (AEROPORTO),ORARIO 18:25:00
PARTENZA da MATERA (P.za Della Visitazione ),ORARIO 20:35:00,ARRIVO a BARI (AEROPORTO),ORARIO 21:50:00
